25 20
#############
#...........#    ########
#...s.a.s...######......#
#...................aaa.#
#...........######..www.#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #...w...#      #......#
  #.......#      #......#
  #.......#      #....pp#
  #########       ######
